corporate_name_S2,main_customers,revenue,profit,country,postal_code,industry_sector,fiscal_year
GlobalCorp._121,"['Customer_VPV', 'Customer_RMG', 'Customer_FNI']",368311282.83,-29139774.7,India,304658,Technology,2022
GlobalCorp._59,"['Customer_KCH', 'Customer_WDN', 'Customer_CMQ']",213656810.76,43650195.88,France,984276,Technology,2023
GlobalCorp._41,"['Customer_HZC', 'Customer_FUS', 'Customer_ETQ']",471278367.93,-14621783.65,India,884278,Manufacturing,2020
GlobalCorp._177,"['Customer_ARY', 'Customer_KNV', 'Customer_IYN']",627582049.76,167997578.98,USA,630464,Pharmaceuticals,2021
GlobalCorp._103,"['Customer_CBN', 'Customer_RRN', 'Customer_AOH']",658461429.52,41057925.63,France,736745,Technology,2021
GlobalCorp_41,"['Customer_NGY', 'Customer_YVP', 'Customer_WRJ']",452111746.34,-30326374.62,India,884278,Manufacturing,2020
GlobalCorp_88,"['Customer_SZT', 'Customer_KFB', 'Customer_UXM']",74120895.16,3932242.55,UK,005222,Pharmaceuticals,2021
GlobalCorp._179,"['Customer_MUM', 'Customer_FZC', 'Customer_TJM']",42447942.94,-2299832.08,USA,764634,Retail,2024
GlobalCorp_76,"['Customer_RER', 'Customer_GGV', 'Customer_MEU']",321579468.71,-5704186.92,India,171460,Pharmaceuticals,2022
GlobalCorp_100,"['Customer_PKC', 'Customer_DMP', 'Customer_NSN']",528017086.67,115628001.79,UK,273133,Manufacturing,2021
GlobalCorp._113,"['Customer_RMN', 'Customer_RZW', 'Customer_CZL']",207806450.86,-13190521.18,USA,859421,Technology,2021
GlobalCorp._96,"['Customer_RRR', 'Customer_MCO', 'Customer_WPP']",239588403.84,13243756.09,Germany,216859,Technology,2021
GlobalCorp._176,"['Customer_DVV', 'Customer_QRJ', 'Customer_IRT']",543970551.93,19073944.68,France,439111,Energy,2020
GlobalCorp._118,"['Customer_NSF', 'Customer_RJJ', 'Customer_OXI']",68724766.84,444598.55,Australia,548352,Manufacturing,2021
Corp_NPXPNL,"['Customer_UVH', 'Customer_FDI', 'Customer_TCE']",477919108.26,59877122.02,UK,835686,Manufacturing,2020
Corp_LRPGUJ,"['Customer_QSC', 'Customer_VCG', 'Customer_BHQ']",234705385.8,-18950989.24,Canada,847351,Retail,2024
GlobalCorp._127,"['Customer_SIW', 'Customer_XVE', 'Customer_EVQ']",346214941.59,-10973069.09,India,495954,Retail,2024
Corp_QVIRQU,"['Customer_QBW', 'Customer_WNH', 'Customer_VWL']",596890965.75,82849056.73,Australia,044245,Pharmaceuticals,2022
GlobalCorp._83,"['Customer_EPU', 'Customer_KOZ', 'Customer_WSS']",93097311.26,23117332.76,UK,236067,Pharmaceuticals,2021
GlobalCorp_109,"['Customer_AOP', 'Customer_VJN', 'Customer_QQU']",62649159.38,18477832.27,USA,765328,Technology,2020
Corp_SJHJJE,"['Customer_BZT', 'Customer_UGG', 'Customer_OQP']",342740845.04,10451408.52,Germany,116184,Retail,2020
GlobalCorp_136,"['Customer_FIG', 'Customer_ETJ', 'Customer_RQB']",215944512.24,-9888583.07,Japan,431833,Retail,2023
GlobalCorp_132,"['Customer_MIW', 'Customer_RKM', 'Customer_QMJ']",166363176.08,45521747.86,USA,884874,Automotive,2024
GlobalCorp_51,"['Customer_RQX', 'Customer_DNL', 'Customer_HPO']",587384260.91,-18958741.07,USA,431206,Automotive,2020
GlobalCorp_108,"['Customer_HLR', 'Customer_HJQ', 'Customer_LTO']",335408943.56,54724840.65,Germany,764944,Technology,2020
Corp_JCUQZA,"['Customer_UQK', 'Customer_RUF', 'Customer_AVA']",291662157.97,44783840.57,UK,496189,Retail,2022
Corp_VRSVTN,"['Customer_XGX', 'Customer_AZE', 'Customer_GUK']",506172583.34,-39026973.67,Japan,807981,Technology,2020
GlobalCorp_76,"['Customer_VSW', 'Customer_CFH', 'Customer_OWP']",563306262.99,82923416.63,India,171460,Pharmaceuticals,2021
Corp_DIOCQY,"['Customer_IOO', 'Customer_FDW', 'Customer_DIA']",69711579.67,7546825.57,Australia,328582,Energy,2022
GlobalCorp_45,"['Customer_CUG', 'Customer_QYZ', 'Customer_GUN']",692957342.67,80648120.23,Australia,068906,Energy,2023
GlobalCorp._63,"['Customer_BHI', 'Customer_YZW', 'Customer_GJS']",109406539.48,18878149.91,UK,096322,Retail,2023
Corp_HYTYQM,"['Customer_IVV', 'Customer_ATN', 'Customer_NSM']",696200502.27,191654381.46,Canada,151068,Automotive,2022
GlobalCorp_184,"['Customer_ECJ', 'Customer_ITL', 'Customer_SRT']",113762718.56,33471137.06,Canada,531690,Pharmaceuticals,2023
GlobalCorp._54,"['Customer_ZDL', 'Customer_KZI', 'Customer_YTA']",258710133.93,29456528.79,UK,461906,Energy,2020
GlobalCorp_130,"['Customer_MIA', 'Customer_NNH', 'Customer_SCT']",599174203.58,111704247.99,Germany,525954,Retail,2021
Corp_ZQWGHQ,"['Customer_KKX', 'Customer_WCX', 'Customer_SDZ']",656977338.72,55681364.29,Germany,073137,Automotive,2022
GlobalCorp_11,"['Customer_YLT', 'Customer_ENY', 'Customer_ILW']",379438046.5,15136581.53,India,155513,Technology,2022
GlobalCorp_32,"['Customer_IBG', 'Customer_XAI', 'Customer_UFR']",81798150.77,21175285.04,India,414333,Energy,2020
GlobalCorp._75,"['Customer_FGQ', 'Customer_TLF', 'Customer_QYH']",311078599.88,28518156.12,UK,156978,Energy,2021
GlobalCorp_172,"['Customer_BUZ', 'Customer_HCL', 'Customer_YPF']",30645473.54,8200260.12,Australia,583203,Pharmaceuticals,2022
Corp_EQJOFZ,"['Customer_VSN', 'Customer_QGU', 'Customer_NQE']",610131575.03,105661019.84,Japan,000449,Retail,2020
GlobalCorp_164,"['Customer_FQM', 'Customer_KUQ', 'Customer_GWS']",70007356.45,14420754.5,France,998149,Energy,2023
Corp_CCPGPM,"['Customer_VWR', 'Customer_AGN', 'Customer_TRF']",506600053.61,-6736655.76,Australia,629135,Automotive,2021
Corp_CQQEJJ,"['Customer_UCZ', 'Customer_XFY', 'Customer_MFM']",316688079.51,86070656.46,France,137872,Energy,2023
Corp_LCJHIN,"['Customer_MBX', 'Customer_YCR', 'Customer_DBZ']",47492565.42,6742165.02,UK,426465,Technology,2021
Corp_MCBSHR,"['Customer_KXY', 'Customer_JMI', 'Customer_BHM']",195861654.15,30009287.58,UK,920363,Pharmaceuticals,2024
GlobalCorp_48,"['Customer_DED', 'Customer_WNL', 'Customer_NOO']",402327476.56,81966151.01,Australia,193433,Technology,2022
Corp_WQQVSC,"['Customer_RDZ', 'Customer_AKF', 'Customer_DIJ']",649621758.05,190838064.66,Germany,279409,Energy,2020
GlobalCorp_44,"['Customer_FXX', 'Customer_MLR', 'Customer_GTJ']",227342510.67,39979963.09,USA,825781,Manufacturing,2022
GlobalCorp._158,"['Customer_UIE', 'Customer_XSB', 'Customer_KFN']",351142663.8,-10826187.35,Germany,064201,Retail,2022
Corp_GDYPMI,"['Customer_KKH', 'Customer_PRK', 'Customer_NJZ']",74311448.68,142459.62,Germany,046726,Retail,2024
GlobalCorp_187,"['Customer_YWS', 'Customer_ADS', 'Customer_LWQ']",559209252.1,70903424.23,Germany,983745,Energy,2022
GlobalCorp._68,"['Customer_ZTL', 'Customer_JJO', 'Customer_UZC']",376078896.23,-23837549.83,Canada,732190,Retail,2021
GlobalCorp._110,"['Customer_DQC', 'Customer_TAR', 'Customer_KFC']",89604532.42,5877253.27,USA,963064,Retail,2021
Corp_ZEDMII,"['Customer_TJM', 'Customer_IAF', 'Customer_CHW']",244241475.9,53651365.6,India,788441,Automotive,2022
Corp_KIQUEO,"['Customer_RRA', 'Customer_CPC', 'Customer_IVS']",485852842.35,-38915494.85,Canada,331361,Pharmaceuticals,2021
GlobalCorp_161,"['Customer_NUB', 'Customer_EKQ', 'Customer_TZO']",537306525.49,45622155.15,Japan,011006,Technology,2022
GlobalCorp._47,"['Customer_SHS', 'Customer_ACW', 'Customer_PPD']",320633694.18,83406068.56,India,834560,Manufacturing,2024
Corp_UMGHRW,"['Customer_UBI', 'Customer_PEE', 'Customer_RCS']",173428514.64,-12569022.39,Canada,941091,Pharmaceuticals,2022
GlobalCorp._95,"['Customer_ETL', 'Customer_VJR', 'Customer_EFK']",81261880.2,-1887325.97,France,063348,Technology,2022
GlobalCorp._73,"['Customer_FHS', 'Customer_EYN', 'Customer_KAN']",531400194.55,-8868195.74,Germany,784512,Energy,2023
GlobalCorp._68,"['Customer_DDV', 'Customer_FII', 'Customer_VDF']",529390121.0,-27086805.8,Canada,732190,Retail,2020
GlobalCorp._131,"['Customer_TKU', 'Customer_RZW', 'Customer_RCH']",446323479.69,124046643.7,Canada,803371,Retail,2021
GlobalCorp_62,"['Customer_DVB', 'Customer_FUM', 'Customer_IQU']",444953969.3,28668334.16,India,448212,Manufacturing,2020
GlobalCorp._111,"['Customer_UKY', 'Customer_JCQ', 'Customer_QXR']",463464884.89,16506088.21,India,154508,Technology,2024
Corp_PDYISZ,"['Customer_WXG', 'Customer_AJS', 'Customer_UZO']",484718662.45,57322240.84,USA,615615,Automotive,2021
GlobalCorp_70,"['Customer_BRN', 'Customer_CHS', 'Customer_DWS']",108266365.84,10434257.16,USA,252992,Retail,2022
Corp_UAHHKU,"['Customer_TCP', 'Customer_PHC', 'Customer_UDU']",332869631.84,-3513948.2,Australia,984572,Pharmaceuticals,2021
GlobalCorp_139,"['Customer_GNE', 'Customer_SJM', 'Customer_UIH']",603372508.81,180622630.37,India,153829,Energy,2023
GlobalCorp._7,"['Customer_YKB', 'Customer_FCC', 'Customer_XLW']",603163783.96,-30374838.73,Australia,569477,Technology,2021
GlobalCorp._185,"['Customer_LKK', 'Customer_YYI', 'Customer_TKL']",319183813.08,429833.22,UK,897233,Pharmaceuticals,2023
GlobalCorp._37,"['Customer_KJM', 'Customer_DHS', 'Customer_OOG']",223854016.11,9468584.11,USA,803713,Technology,2023
GlobalCorp_169,"['Customer_PHT', 'Customer_LWW', 'Customer_RRH']",687820139.9,21419922.5,France,098090,Pharmaceuticals,2023
Corp_ACEEAD,"['Customer_EAD', 'Customer_CUK', 'Customer_UIF']",690165379.79,-20669681.71,Canada,817365,Retail,2022
Corp_IFJQEW,"['Customer_FYL', 'Customer_RBC', 'Customer_ENA']",99805897.3,-3967495.06,Japan,227349,Manufacturing,2021
GlobalCorp._52,"['Customer_KRY', 'Customer_SGW', 'Customer_EUF']",470351470.15,100459719.6,Australia,188184,Manufacturing,2020
GlobalCorp._192,"['Customer_KLU', 'Customer_RDG', 'Customer_EWQ']",474691872.28,-30611212.08,USA,456272,Retail,2024
GlobalCorp._127,"['Customer_UMX', 'Customer_GDN', 'Customer_MAD']",204191064.1,-15715190.23,India,495954,Retail,2023
Corp_MXLEMI,"['Customer_BCD', 'Customer_UYN', 'Customer_ZHO']",379638241.86,-16872725.99,Japan,899878,Pharmaceuticals,2020
Corp_SXHAAF,"['Customer_OVM', 'Customer_BOU', 'Customer_UUW']",112964600.5,-10530865.48,Australia,039908,Technology,2023
GlobalCorp._132,"['Customer_CUX', 'Customer_EUC', 'Customer_WCG']",75191014.89,-6694541.69,USA,884874,Automotive,2023
GlobalCorp._181,"['Customer_QWS', 'Customer_TAU', 'Customer_LWP']",121047194.18,3206779.0,USA,155688,Retail,2023
GlobalCorp._116,"['Customer_UKF', 'Customer_HIH', 'Customer_XHM']",559204133.26,155598293.37,France,549957,Retail,2020
GlobalCorp_99,"['Customer_JYT', 'Customer_CCB', 'Customer_LYQ']",241955678.69,66749764.62,Germany,963301,Manufacturing,2021
GlobalCorp._136,"['Customer_XOB', 'Customer_VBC', 'Customer_NTF']",542509345.0,67607058.48,Japan,431833,Retail,2020
GlobalCorp._52,"['Customer_FPA', 'Customer_AKA', 'Customer_AXC']",448280160.47,10980942.98,Australia,188184,Manufacturing,2022
Corp_WHBULK,"['Customer_AVL', 'Customer_MYF', 'Customer_MXL']",44700000.06,935597.29,USA,996214,Manufacturing,2022
Corp_IXFJAX,"['Customer_KEP', 'Customer_DED', 'Customer_NWE']",307034202.26,17354907.18,Japan,819617,Automotive,2024
GlobalCorp._141,"['Customer_HJO', 'Customer_YQG', 'Customer_OTZ']",294301251.04,26774128.32,USA,659057,Retail,2020
Corp_OPYCPY,"['Customer_QCX', 'Customer_PDF', 'Customer_NLB']",400128227.97,-7869161.0,India,478727,Technology,2022
GlobalCorp_177,"['Customer_PTQ', 'Customer_KKH', 'Customer_WHL']",585341473.42,43245561.49,USA,630464,Pharmaceuticals,2020
GlobalCorp_90,"['Customer_FMN', 'Customer_RKH', 'Customer_QHJ']",633492304.33,-7458170.38,USA,657988,Manufacturing,2022
GlobalCorp_76,"['Customer_ZBZ', 'Customer_JIN', 'Customer_KLD']",381332334.25,31285262.98,India,171460,Pharmaceuticals,2020
GlobalCorp_55,"['Customer_YBQ', 'Customer_PGY', 'Customer_TJQ']",538613924.34,108093742.78,Japan,417000,Manufacturing,2020
GlobalCorp_138,"['Customer_GDW', 'Customer_JFX', 'Customer_ZQM']",446107894.97,85499255.47,Canada,304927,Pharmaceuticals,2020
