corporate_name_S1,address,activity_places,top_suppliers,country,postal_code,industry_sector
Corp_IWAZM_20,432 Street_TAJ Ave,"['Plant_CUU', 'Warehouse_TVV']","['Supplier_PDI', 'Supplier_PEH', 'Supplier_SZW']",India,153327,Energy
Corp_JWECL_21,648 Street_AHD Ave,"['Plant_ZAC', 'Warehouse_RMG']","['Supplier_XVT', 'Supplier_KGI', 'Supplier_KCL']",France,479232,Pharmaceuticals
Corp_HAUHW_22,212 Street_TIF Ave,"['Plant_ZKM', 'Warehouse_ONZ']","['Supplier_WXW', 'Supplier_SMY', 'Supplier_FRM']",UK,281285,Technology
Corp_FTRMR_23,546 Street_HFH Ave,"['Plant_XLC', 'Warehouse_WDT']","['Supplier_HSG', 'Supplier_ADY', 'Supplier_TZX']",France,72939,Pharmaceuticals
Corp_WFAVW_24,895 Street_AFM Ave,"['Plant_KCP', 'Warehouse_DRC']","['Supplier_YDL', 'Supplier_UQF', 'Supplier_MAO']",Japan,381566,Retail
Corp_VJUTP_25,69 Street_BRK Ave,"['Plant_PHT', 'Warehouse_GIK']","['Supplier_DLL', 'Supplier_NTN', 'Supplier_JGY']",UK,350460,Energy
Corp_JYQRW_26,927 Street_WMN Ave,"['Plant_WMY', 'Warehouse_SGU']","['Supplier_XGK', 'Supplier_TNT', 'Supplier_LCO']",France,311156,Automotive
Corp_WJXTZ_27,70 Street_MIA Ave,"['Plant_LYD', 'Warehouse_BOT']","['Supplier_AHQ', 'Supplier_FQF', 'Supplier_PDO']",Australia,763671,Technology
Corp_FRODX_28,830 Street_FDO Ave,"['Plant_ODE', 'Warehouse_RMD']","['Supplier_JXU', 'Supplier_HZG', 'Supplier_VZU']",USA,892569,Automotive
Corp_MGYUV_29,73 Street_VOF Ave,"['Plant_ZOJ', 'Warehouse_EMM']","['Supplier_NPM', 'Supplier_HAM', 'Supplier_WVS']",India,596210,Retail
Corp_KRHFI_30,590 Street_OOR Ave,"['Plant_ZXU', 'Warehouse_BQQ']","['Supplier_VIA', 'Supplier_TJF', 'Supplier_JLD']",France,211902,Energy
Corp_GSRTX_31,728 Street_MDB Ave,"['Plant_YHN', 'Warehouse_JTY']","['Supplier_KVP', 'Supplier_NXH', 'Supplier_DGE']",Germany,316186,Automotive
Corp_JULFT_32,139 Street_HRA Ave,"['Plant_NQR', 'Warehouse_UQR']","['Supplier_MEA', 'Supplier_GMJ', 'Supplier_ZYY']",UK,904642,Manufacturing
Corp_AJRIQ_33,574 Street_LSO Ave,"['Plant_PSJ', 'Warehouse_CHT']","['Supplier_KIP', 'Supplier_UOB', 'Supplier_EBY']",France,953394,Retail
Corp_QFEXA_34,97 Street_LHO Ave,"['Plant_EME', 'Warehouse_GBQ']","['Supplier_ANO', 'Supplier_BZN', 'Supplier_KOT']",Canada,891697,Energy
Corp_ROLSY_35,470 Street_IAA Ave,"['Plant_DOS', 'Warehouse_BSI']","['Supplier_BOO', 'Supplier_CMG', 'Supplier_KDC']",Canada,720817,Pharmaceuticals
Corp_OUGGV_36,664 Street_ATU Ave,"['Plant_JNF', 'Warehouse_FTT']","['Supplier_LCP', 'Supplier_NAD', 'Supplier_VVL']",Germany,445149,Automotive
Corp_BUKEG_37,999 Street_FCT Ave,"['Plant_FOM', 'Warehouse_PVU']","['Supplier_LCM', 'Supplier_OLI', 'Supplier_AXT']",France,911515,Manufacturing
Corp_AOFTA_38,773 Street_AAS Ave,"['Plant_WNK', 'Warehouse_OMG']","['Supplier_ELJ', 'Supplier_XXP', 'Supplier_XQD']",France,89842,Automotive
Corp_ZLAWM_39,499 Street_PUK Ave,"['Plant_NWN', 'Warehouse_ZYX']","['Supplier_OZF', 'Supplier_XGG', 'Supplier_AZX']",Germany,152612,Retail
Corp_BBPJO_40,407 Street_VCX Ave,"['Plant_GRU', 'Warehouse_PTC']","['Supplier_MJT', 'Supplier_WPT', 'Supplier_JRL']",France,948539,Automotive
Corp_LXDHR_41,644 Street_ESD Ave,"['Plant_EAG', 'Warehouse_MEH']","['Supplier_ECK', 'Supplier_IIV', 'Supplier_ZBA']",India,603701,Automotive
Corp_YCRIS_42,631 Street_EAH Ave,"['Plant_WWA', 'Warehouse_VTF']","['Supplier_UCR', 'Supplier_AVC', 'Supplier_LNB']",USA,733916,Energy
Corp_MYYCA_43,326 Street_HQB Ave,"['Plant_QXO', 'Warehouse_CGM']","['Supplier_AQP', 'Supplier_BGD', 'Supplier_LST']",USA,290910,Manufacturing
Corp_HFXCI_44,759 Street_WWL Ave,"['Plant_PPT', 'Warehouse_NRS']","['Supplier_CHV', 'Supplier_CCV', 'Supplier_BTX']",India,878758,Technology
Corp_JLIDN_45,205 Street_EKW Ave,"['Plant_WQR', 'Warehouse_WPG']","['Supplier_VQR', 'Supplier_EYA', 'Supplier_LYP']",Germany,145874,Manufacturing
Corp_PTQBL_46,310 Street_RVK Ave,"['Plant_ORM', 'Warehouse_SRG']","['Supplier_AKX', 'Supplier_FHN', 'Supplier_SFL']",France,968350,Energy
Corp_XTPJJ_47,951 Street_CRP Ave,"['Plant_HSN', 'Warehouse_FJD']","['Supplier_CAI', 'Supplier_ZNU', 'Supplier_VAK']",USA,282276,Energy
Corp_YSYLJ_48,257 Street_RKN Ave,"['Plant_IGH', 'Warehouse_VGK']","['Supplier_XZV', 'Supplier_AGN', 'Supplier_RKO']",Canada,34107,Energy
Corp_JOOQY_49,729 Street_TTD Ave,"['Plant_GRH', 'Warehouse_EAN']","['Supplier_EOM', 'Supplier_QJK', 'Supplier_UJD']",Germany,928887,Energy
Corp_ORQFJ_50,48 Street_SNC Ave,"['Plant_DQQ', 'Warehouse_PEY']","['Supplier_WMM', 'Supplier_ZVA', 'Supplier_EAS']",India,97057,Manufacturing
Corp_WMZVH_51,171 Street_ZUH Ave,"['Plant_VQW', 'Warehouse_HHN']","['Supplier_VAN', 'Supplier_LVC', 'Supplier_CGE']",Japan,707535,Energy
Corp_FGOIR_52,637 Street_RYF Ave,"['Plant_EDZ', 'Warehouse_FFO']","['Supplier_YPQ', 'Supplier_CVQ', 'Supplier_MHH']",India,843211,Manufacturing
Corp_CXGGC_53,381 Street_MNA Ave,"['Plant_SKT', 'Warehouse_QVB']","['Supplier_ASR', 'Supplier_BVP', 'Supplier_VPA']",Germany,555673,Automotive
Corp_RNBKF_54,174 Street_UAS Ave,"['Plant_HQP', 'Warehouse_WHD']","['Supplier_YFZ', 'Supplier_OUS', 'Supplier_NWH']",France,307823,Technology
Corp_CPQBE_55,738 Street_VCD Ave,"['Plant_PKG', 'Warehouse_ZGC']","['Supplier_IIY', 'Supplier_MVT', 'Supplier_SAW']",India,454684,Technology
Corp_EBHOE_56,674 Street_MKJ Ave,"['Plant_UNH', 'Warehouse_IFH']","['Supplier_AIO', 'Supplier_SHA', 'Supplier_VXA']",India,525771,Energy
Corp_HPLTW_57,478 Street_VNK Ave,"['Plant_HLT', 'Warehouse_HKK']","['Supplier_LOS', 'Supplier_HSG', 'Supplier_ECS']",UK,996634,Technology
Corp_WCHUB_58,623 Street_GIB Ave,"['Plant_WRZ', 'Warehouse_PHY']","['Supplier_QKM', 'Supplier_BSR', 'Supplier_DMT']",Japan,854428,Automotive
Corp_FFLOL_59,725 Street_QZV Ave,"['Plant_BPW', 'Warehouse_AGJ']","['Supplier_JNH', 'Supplier_FYP', 'Supplier_RNE']",Japan,268883,Manufacturing
Corp_OUCZK_60,340 Street_NNC Ave,"['Plant_XYS', 'Warehouse_MHI']","['Supplier_WUO', 'Supplier_HEL', 'Supplier_VDM']",Canada,648777,Technology
Corp_PLQVB_61,85 Street_MTE Ave,"['Plant_ZVB', 'Warehouse_LUD']","['Supplier_FHU', 'Supplier_MBD', 'Supplier_FVM']",Japan,912810,Pharmaceuticals
Corp_KCBFS_62,596 Street_QVB Ave,"['Plant_RMP', 'Warehouse_ZHX']","['Supplier_AAH', 'Supplier_TMV', 'Supplier_LMX']",Australia,46592,Technology
Corp_YSWTU_63,190 Street_LUF Ave,"['Plant_VVV', 'Warehouse_QGL']","['Supplier_JFL', 'Supplier_APC', 'Supplier_YRL']",UK,942170,Technology
Corp_VRUWR_64,574 Street_FGT Ave,"['Plant_XAZ', 'Warehouse_TWD']","['Supplier_XPQ', 'Supplier_PHP', 'Supplier_NYS']",France,229653,Retail
Corp_UUPNE_65,614 Street_YKR Ave,"['Plant_WTC', 'Warehouse_XDR']","['Supplier_GWE', 'Supplier_FNJ', 'Supplier_VCD']",Japan,762767,Retail
Corp_RAHIK_66,879 Street_RMO Ave,"['Plant_FJB', 'Warehouse_ZRQ']","['Supplier_UHT', 'Supplier_DWU', 'Supplier_JGZ']",UK,295328,Automotive
Corp_XDEBF_67,43 Street_ZWC Ave,"['Plant_IOS', 'Warehouse_VPU']","['Supplier_VNE', 'Supplier_RGL', 'Supplier_NCG']",Germany,528798,Automotive
Corp_RWPHZ_68,569 Street_QEW Ave,"['Plant_WEA', 'Warehouse_AYY']","['Supplier_PPC', 'Supplier_VYP', 'Supplier_GPN']",UK,257120,Technology
Corp_QDBAG_69,584 Street_BZZ Ave,"['Plant_NJP', 'Warehouse_VRD']","['Supplier_DJR', 'Supplier_BMH', 'Supplier_ELO']",India,600185,Retail
Corp_CHHNH_70,421 Street_GAZ Ave,"['Plant_VAZ', 'Warehouse_UCP']","['Supplier_IYW', 'Supplier_QBR', 'Supplier_BBC']",Canada,774197,Manufacturing
Corp_ESKWG_71,562 Street_NKW Ave,"['Plant_XUE', 'Warehouse_LSX']","['Supplier_EQC', 'Supplier_OOA', 'Supplier_RLK']",UK,465498,Retail
Corp_QEGSH_72,473 Street_UAW Ave,"['Plant_FLM', 'Warehouse_VBD']","['Supplier_GCM', 'Supplier_CMR', 'Supplier_JBZ']",India,845472,Manufacturing
Corp_LGZOP_73,608 Street_MVZ Ave,"['Plant_IVZ', 'Warehouse_EHG']","['Supplier_UJF', 'Supplier_NKE', 'Supplier_XEE']",UK,303087,Pharmaceuticals
Corp_DAOOR_74,218 Street_WKD Ave,"['Plant_IRQ', 'Warehouse_GQV']","['Supplier_KFU', 'Supplier_FWZ', 'Supplier_ERV']",Germany,694191,Technology
Corp_SUDXS_75,731 Street_FPG Ave,"['Plant_IBI', 'Warehouse_NTF']","['Supplier_NZV', 'Supplier_YEG', 'Supplier_UGI']",USA,930310,Technology
Corp_IEXSE_76,435 Street_OMS Ave,"['Plant_TEW', 'Warehouse_EUK']","['Supplier_ISQ', 'Supplier_OBQ', 'Supplier_HXU']",Canada,117106,Manufacturing
Corp_TFMIK_77,288 Street_KTX Ave,"['Plant_KPW', 'Warehouse_BIU']","['Supplier_BIT', 'Supplier_GAJ', 'Supplier_ELK']",India,98211,Pharmaceuticals
Corp_NPUPV_78,125 Street_YSY Ave,"['Plant_BEB', 'Warehouse_XJW']","['Supplier_UXN', 'Supplier_GND', 'Supplier_QTM']",France,212259,Manufacturing
Corp_KYWHV_79,837 Street_QKT Ave,"['Plant_OAD', 'Warehouse_MYA']","['Supplier_YFI', 'Supplier_SLB', 'Supplier_UME']",Japan,6314,Energy
Corp_HAVLP_80,963 Street_XOJ Ave,"['Plant_ASE', 'Warehouse_EUU']","['Supplier_WGX', 'Supplier_XZV', 'Supplier_OXF']",UK,911642,Pharmaceuticals
Corp_IFZDL_81,445 Street_IQZ Ave,"['Plant_WWG', 'Warehouse_UWJ']","['Supplier_ZYR', 'Supplier_UQB', 'Supplier_FUU']",USA,3409,Manufacturing
Corp_ZSURU_82,159 Street_OUN Ave,"['Plant_MEM', 'Warehouse_YDS']","['Supplier_BNU', 'Supplier_HXX', 'Supplier_XWV']",Australia,5480,Technology
Corp_CCCZB_83,582 Street_HYU Ave,"['Plant_PXT', 'Warehouse_FNB']","['Supplier_DUZ', 'Supplier_BAC', 'Supplier_PYQ']",Japan,483229,Technology
Corp_VAVSP_84,143 Street_ZFC Ave,"['Plant_UZL', 'Warehouse_YEI']","['Supplier_WCX', 'Supplier_DCV', 'Supplier_MAT']",Australia,758323,Pharmaceuticals
Corp_GSKGV_85,694 Street_CZD Ave,"['Plant_PJX', 'Warehouse_GKH']","['Supplier_MKT', 'Supplier_YBM', 'Supplier_CFF']",Germany,286064,Technology
Corp_JZOGO_86,588 Street_QWS Ave,"['Plant_JVC', 'Warehouse_UKC']","['Supplier_UNZ', 'Supplier_LWQ', 'Supplier_RDT']",Australia,39738,Automotive
Corp_WPVRW_87,668 Street_XYX Ave,"['Plant_DMX', 'Warehouse_HKL']","['Supplier_WBF', 'Supplier_JBN', 'Supplier_IRN']",Japan,849246,Retail
Corp_NCCWV_88,740 Street_BNP Ave,"['Plant_DLD', 'Warehouse_BUD']","['Supplier_AFQ', 'Supplier_WQX', 'Supplier_FSV']",Canada,817825,Energy
Corp_PNODQ_89,327 Street_YET Ave,"['Plant_YRU', 'Warehouse_VUW']","['Supplier_BER', 'Supplier_CXY', 'Supplier_UMF']",USA,430326,Technology
Corp_NAAVT_90,641 Street_ECA Ave,"['Plant_ADA', 'Warehouse_LQY']","['Supplier_ZGN', 'Supplier_SUQ', 'Supplier_YIT']",Australia,125917,Energy
Corp_MEHDQ_91,995 Street_OSE Ave,"['Plant_USS', 'Warehouse_OMX']","['Supplier_NTY', 'Supplier_MWS', 'Supplier_HZA']",Canada,415671,Manufacturing
Corp_LJFMC_92,915 Street_KBN Ave,"['Plant_MYY', 'Warehouse_OXE']","['Supplier_JPB', 'Supplier_ZKX', 'Supplier_YQB']",Canada,7989,Automotive
Corp_WWYIF_93,257 Street_JRX Ave,"['Plant_PIW', 'Warehouse_JNS']","['Supplier_PNZ', 'Supplier_PQK', 'Supplier_VDE']",Australia,244200,Energy
Corp_XNZJR_94,285 Street_HEU Ave,"['Plant_DTI', 'Warehouse_LZA']","['Supplier_KGE', 'Supplier_LRO', 'Supplier_WPM']",Australia,412024,Manufacturing
Corp_MBDXC_95,21 Street_XQG Ave,"['Plant_NJQ', 'Warehouse_KLI']","['Supplier_UUQ', 'Supplier_RUL', 'Supplier_JLE']",UK,39573,Pharmaceuticals
Corp_BSPGQ_96,538 Street_TTK Ave,"['Plant_CHT', 'Warehouse_TVM']","['Supplier_ZOL', 'Supplier_CCI', 'Supplier_CGZ']",UK,840997,Energy
Corp_BTJPV_97,386 Street_VLA Ave,"['Plant_WKZ', 'Warehouse_OCO']","['Supplier_HEI', 'Supplier_MND', 'Supplier_POF']",USA,149138,Automotive
Corp_NDTUT_98,830 Street_EBJ Ave,"['Plant_FUM', 'Warehouse_EKB']","['Supplier_PGV', 'Supplier_UJY', 'Supplier_ACK']",France,375494,Retail
Corp_LBTTP_99,144 Street_BVF Ave,"['Plant_VRT', 'Warehouse_RRD']","['Supplier_TVX', 'Supplier_BMK', 'Supplier_PXU']",Canada,815435,Pharmaceuticals
GlobalCorp_40,518 Main Street,"['Plant_FNE', 'Warehouse_UWB']","['Supplier_APU', 'Supplier_CGJ', 'Supplier_ICH']",Australia,232830,Retail
Corp_MTLRJI,779 Street_SLK Ave,"['Plant_ETN', 'Warehouse_ANR']","['Supplier_SWK', 'Supplier_SXQ', 'Supplier_TMR']",Germany,006221,Automotive
globalcorporation_142,627 Main Street,"['Plant_WSX', 'Warehouse_ZDT']","['Supplier_FMZ', 'Supplier_WER', 'Supplier_VDL']",France,213273,Pharmaceuticals
GlobalCorp_31,512 Main Street,"['Plant_KRD', 'Warehouse_RWP']","['Supplier_VHH', 'Supplier_GCH', 'Supplier_DEH']",Japan,947534,Automotive
GlobalCorp_33,791 Main Street,"['Plant_LDJ', 'Warehouse_QHY']","['Supplier_KNX', 'Supplier_VMQ', 'Supplier_QTN']",USA,945306,Energy
globalcorporation_110,400 Main Street,"['Plant_TXW', 'Warehouse_YRA']","['Supplier_KSE', 'Supplier_RTS', 'Supplier_WZH']",USA,963064,Retail
GlobalCorp_33,791 Main Street,"['Plant_XTR', 'Warehouse_KAX']","['Supplier_SXW', 'Supplier_MON', 'Supplier_FGO']",USA,945306,Energy
GlobalCorp_141,697 Main Street,"['Plant_ODN', 'Warehouse_PYO']","['Supplier_LRW', 'Supplier_OWV', 'Supplier_KVN']",USA,659057,Retail
globalcorporation_157,935 Main Street,"['Plant_JVR', 'Warehouse_VEM']","['Supplier_VJR', 'Supplier_UPP', 'Supplier_IXD']",France,461788,Technology
globalcorporation_17,132 Main Street,"['Plant_FWD', 'Warehouse_HZE']","['Supplier_GFQ', 'Supplier_HXB', 'Supplier_BJC']",Japan,125362,Manufacturing
globalcorporation_150,712 Main Street,"['Plant_WVD', 'Warehouse_YHQ']","['Supplier_OKE', 'Supplier_KLS', 'Supplier_WGO']",USA,787830,Technology
globalcorporation_144,72 Main Street,"['Plant_LRZ', 'Warehouse_JZK']","['Supplier_REM', 'Supplier_VND', 'Supplier_UFQ']",Japan,417740,Manufacturing
globalcorporation_136,777 Main Street,"['Plant_IDL', 'Warehouse_ZXR']","['Supplier_RRA', 'Supplier_HCU', 'Supplier_GVV']",Japan,431833,Retail
GlobalCorp_189,297 Main Street,"['Plant_DMA', 'Warehouse_SLD']","['Supplier_VBZ', 'Supplier_JHT', 'Supplier_ZMM']",Australia,847866,Technology
globalcorporation_162,505 Main Street,"['Plant_MCT', 'Warehouse_KFY']","['Supplier_NTB', 'Supplier_EEO', 'Supplier_KCR']",Australia,196968,Automotive
globalcorporation_161,571 Main Street,"['Plant_SJK', 'Warehouse_KSW']","['Supplier_YCZ', 'Supplier_NLM', 'Supplier_YVH']",Japan,011006,Technology
globalcorporation_135,136 Main Street,"['Plant_GQJ', 'Warehouse_QQP']","['Supplier_BUQ', 'Supplier_YFY', 'Supplier_WCR']",Australia,300488,Manufacturing
Corp_ELRMJY,168 Street_VCX Ave,"['Plant_PJU', 'Warehouse_ERR']","['Supplier_PRJ', 'Supplier_RCJ', 'Supplier_VIV']",Australia,953829,Automotive
Corp_FUISSW,35 Street_STF Ave,"['Plant_JNO', 'Warehouse_NUR']","['Supplier_HLK', 'Supplier_GYK', 'Supplier_ODM']",Germany,600214,Energy
GlobalCorp_77,592 Main Street,"['Plant_UIH', 'Warehouse_MBN']","['Supplier_HUU', 'Supplier_ETL', 'Supplier_KKZ']",France,167779,Automotive
GlobalCorp_185,523 Main Street,"['Plant_PRH', 'Warehouse_UNG']","['Supplier_PAT', 'Supplier_XOQ', 'Supplier_AYS']",UK,897233,Pharmaceuticals
GlobalCorp_54,397 Main Street,"['Plant_XFF', 'Warehouse_NOH']","['Supplier_FLM', 'Supplier_TTL', 'Supplier_ESU']",UK,461906,Energy
GlobalCorp_173,209 Main Street,"['Plant_PBP', 'Warehouse_CZO']","['Supplier_RRC', 'Supplier_CWW', 'Supplier_YZD']",USA,752427,Retail
Corp_UCIFEC,853 Street_JBX Ave,"['Plant_TRB', 'Warehouse_ERD']","['Supplier_KHH', 'Supplier_VUB', 'Supplier_CZO']",Japan,112908,Retail
Corp_KOADZW,313 Street_QQX Ave,"['Plant_WVL', 'Warehouse_CZR']","['Supplier_BOP', 'Supplier_UZX', 'Supplier_GUN']",UK,118883,Pharmaceuticals
Corp_ISGSQE,461 Street_UDK Ave,"['Plant_MKY', 'Warehouse_GAW']","['Supplier_PNG', 'Supplier_FRE', 'Supplier_KSX']",Australia,090242,Energy
globalcorporation_182,247 Main Street,"['Plant_OST', 'Warehouse_FLY']","['Supplier_MWQ', 'Supplier_WUG', 'Supplier_FAX']",India,226023,Energy
Corp_LMTTOG,997 Street_RGA Ave,"['Plant_PRC', 'Warehouse_RSS']","['Supplier_BOO', 'Supplier_GRO', 'Supplier_JWV']",Japan,561081,Retail
Corp_VBRNLF,922 Street_ORD Ave,"['Plant_QFX', 'Warehouse_BQJ']","['Supplier_OCD', 'Supplier_DOQ', 'Supplier_TFR']",UK,214301,Technology
globalcorporation_30,622 Main Street,"['Plant_TGZ', 'Warehouse_ZZB']","['Supplier_HSJ', 'Supplier_IML', 'Supplier_GGA']",USA,882748,Technology
GlobalCorp_173,209 Main Street,"['Plant_MPL', 'Warehouse_HGJ']","['Supplier_XHP', 'Supplier_EVT', 'Supplier_ATE']",USA,752427,Retail
GlobalCorp_186,189 Main Street,"['Plant_QNC', 'Warehouse_EFY']","['Supplier_IVV', 'Supplier_IVF', 'Supplier_ZRR']",France,856148,Retail
globalcorporation_115,19 Main Street,"['Plant_EFB', 'Warehouse_CES']","['Supplier_LPZ', 'Supplier_QRO', 'Supplier_TXF']",UK,450447,Pharmaceuticals
GlobalCorp_11,206 Main Street,"['Plant_XAL', 'Warehouse_JFG']","['Supplier_VFJ', 'Supplier_BZL', 'Supplier_EPQ']",India,155513,Technology
globalcorporation_65,421 Main Street,"['Plant_ECU', 'Warehouse_MAQ']","['Supplier_MZM', 'Supplier_FXW', 'Supplier_BER']",UK,082671,Manufacturing
Corp_GRKBOI,159 Street_NJD Ave,"['Plant_ZCF', 'Warehouse_BYC']","['Supplier_FVT', 'Supplier_JSX', 'Supplier_YQL']",UK,356096,Manufacturing
globalcorporation_5,278 Main Street,"['Plant_MTK', 'Warehouse_AFA']","['Supplier_PTT', 'Supplier_ECH', 'Supplier_DDB']",UK,421023,Automotive
GlobalCorp_171,323 Main Street,"['Plant_RTM', 'Warehouse_PSU']","['Supplier_YXU', 'Supplier_TEN', 'Supplier_LQY']",Japan,862563,Manufacturing
Corp_NDFSFE,383 Street_HSM Ave,"['Plant_DKM', 'Warehouse_DJL']","['Supplier_QZG', 'Supplier_CMW', 'Supplier_AXK']",India,607408,Technology
Corp_SITIQG,957 Street_APM Ave,"['Plant_ZKG', 'Warehouse_SJQ']","['Supplier_VBM', 'Supplier_MFS', 'Supplier_OIY']",France,934891,Energy
Corp_LYGYFA,68 Street_PIR Ave,"['Plant_YQS', 'Warehouse_DBD']","['Supplier_VOR', 'Supplier_DWS', 'Supplier_DPM']",Canada,308049,Pharmaceuticals
GlobalCorp_148,579 Main Street,"['Plant_TNF', 'Warehouse_TVP']","['Supplier_CCU', 'Supplier_BWU', 'Supplier_SHL']",Japan,438423,Manufacturing
GlobalCorp_170,326 Main Street,"['Plant_NWP', 'Warehouse_AXU']","['Supplier_AYW', 'Supplier_KDV', 'Supplier_OXD']",India,776972,Automotive
GlobalCorp_192,520 Main Street,"['Plant_UFJ', 'Warehouse_QXC']","['Supplier_XZV', 'Supplier_EQY', 'Supplier_VHX']",USA,456272,Retail
GlobalCorp_131,15 Main Street,"['Plant_ZHQ', 'Warehouse_KJP']","['Supplier_XPK', 'Supplier_UJQ', 'Supplier_VIG']",Canada,803371,Retail
globalcorporation_129,438 Main Street,"['Plant_JCH', 'Warehouse_BKQ']","['Supplier_IIJ', 'Supplier_KUW', 'Supplier_TFZ']",Japan,472792,Automotive
Corp_IKPJBW,151 Street_AIW Ave,"['Plant_QKF', 'Warehouse_RJC']","['Supplier_MKN', 'Supplier_SUT', 'Supplier_UYQ']",Japan,708051,Energy
globalcorporation_12,755 Main Street,"['Plant_UYQ', 'Warehouse_ITB']","['Supplier_VOH', 'Supplier_HXJ', 'Supplier_NQW']",France,033718,Technology
globalcorporation_168,265 Main Street,"['Plant_EUE', 'Warehouse_KRI']","['Supplier_AGW', 'Supplier_QYY', 'Supplier_VAM']",USA,782376,Technology
globalcorporation_98,502 Main Street,"['Plant_VCB', 'Warehouse_CAQ']","['Supplier_QQI', 'Supplier_GEY', 'Supplier_ZLK']",Australia,925541,Manufacturing
GlobalCorp_48,543 Main Street,"['Plant_GRX', 'Warehouse_NPY']","['Supplier_XVI', 'Supplier_EZT', 'Supplier_INY']",Australia,193433,Technology
globalcorporation_101,361 Main Street,"['Plant_HUV', 'Warehouse_UGW']","['Supplier_AJK', 'Supplier_STG', 'Supplier_TWL']",Japan,280267,Retail
GlobalCorp_188,768 Main Street,"['Plant_MIL', 'Warehouse_EJM']","['Supplier_WEH', 'Supplier_BHH', 'Supplier_PBI']",Canada,289239,Manufacturing
GlobalCorp_15,969 Main Street,"['Plant_RAX', 'Warehouse_RPY']","['Supplier_HXU', 'Supplier_ODR', 'Supplier_TXJ']",Australia,079012,Energy
